Time,Simulated Time,Failed on,Reward,Altitude (m),Roll,Pitch,Yaw,X_distance,Y_distance
3.1,6.01,PitchRollAlt,-29.068,943.969,-1.566,0.983,-0.994,1.0,1.0
3.6,6.01,RollAlt,-30.098,954.722,-4.152,0.52,-0.568,-0.0,1.0
4.2,6.01,PitchAlt,-37.678,943.251,0.417,1.412,3.1,-1.0,3.0
4.7,6.01,Alt,2.642,964.53,-0.4,0.517,1.14,-0.0,1.0
5.5,6.01,Alt,2.424,936.447,0.167,0.348,5.14,-0.0,1.0
5.9,6.01,RollAlt,-25.409,965.549,-1.027,0.134,-3.755,-0.0,2.0
6.4,6.01,Alt,-7.251,941.814,0.143,0.185,0.164,-0.0,6.0
6.9,6.01,PitchAlt,-24.231,942.905,-0.148,0.613,3.69,-0.0,-0.0
7.4,6.01,PitchRollAlt,-31.094,961.533,-1.821,0.994,-1.346,1.0,2.0
8.0,6.01,PitchRollAlt,-35.141,944.198,-4.215,-0.802,-1.493,-0.0,1.0
8.5,6.01,Alt,3.529,1004.122,0.055,0.03,-0.185,-0.0,-0.0
8.9,6.01,PitchRollAlt,-15.555,960.552,-1.056,1.211,-1.128,-0.0,2.0
9.4,6.01,Alt,3.582,1001.866,-0.505,0.027,4.169,-0.0,-0.0
9.9,6.01,PitchRollAlt,-27.055,929.637,-0.941,1.289,-2.994,-0.0,2.0
10.5,6.01,PitchRollAlt,-23.549,939.384,-1.884,1.256,-1.067,-0.0,2.0
11.0,6.01,RollAlt,-21.622,955.266,-2.024,-0.482,-5.323,-0.0,4.0
11.6,6.01,RollAlt,-24.609,928.599,-1.242,-0.258,-10.585,1.0,5.0
12.3,6.01,RollAlt,-28.069,945.954,-3.388,0.242,-1.705,-1.0,5.0
12.8,6.01,PitchRollAlt,-35.544,930.856,-2.161,1.236,-1.734,-0.0,3.0
13.5,6.01,PitchRollAlt,-29.833,945.101,-1.693,1.31,-0.099,-0.0,2.0
14.0,6.01,PitchAlt,-8.374,998.691,-0.085,-0.643,3.241,1.0,2.0
14.6,6.01,RollAlt,-27.619,965.779,-1.79,-0.1,-4.367,1.0,1.0
15.1,6.01,PitchRollAlt,-28.607,941.36,-3.393,0.851,-1.758,-2.0,4.0
15.6,6.01,PitchAlt,-28.237,943.397,0.154,-1.481,-6.683,-0.0,3.0
16.1,6.01,PitchRollAlt,-37.083,937.944,-0.857,-0.838,-5.707,1.0,3.0
16.6,6.01,PitchAlt,-34.029,937.464,0.134,0.606,4.642,-0.0,1.0
17.1,6.01,PitchAlt,-20.3,933.482,0.128,0.738,1.895,-0.0,-0.0
17.6,6.01,RollAlt,-33.502,949.668,-3.603,-0.395,0.12,-0.0,3.0
18.1,6.01,RollAlt,-29.329,961.841,-4.564,0.037,-2.033,-1.0,1.0
18.7,6.01,Alt,-5.004,963.429,-0.332,-0.081,-2.094,-0.0,2.0
19.2,6.01,PitchRollAlt,-24.169,933.848,-1.389,0.977,-6.342,-0.0,2.0
19.8,6.01,Alt,1.004,934.642,0.23,0.568,5.31,-0.0,-0.0
20.3,6.01,RollAlt,-22.656,927.029,0.659,-0.059,8.774,-0.0,6.0
20.8,6.01,PitchRollAlt,-39.756,956.295,-1.759,-0.99,-4.107,-0.0,3.0
21.4,6.01,PitchAlt,-2.038,1001.474,0.019,-0.591,-4.55,-0.0,1.0
21.9,6.01,PitchRollAlt,-21.29,947.8,-1.359,1.047,-1.146,-0.0,2.0
22.5,6.01,PitchRollAlt,-49.001,948.064,-2.121,-0.753,-5.131,1.0,2.0
23.0,6.01,RollAlt,-37.814,951.206,-2.333,-0.389,-2.83,1.0,4.0
